run_id,run_name,lr,batch_size,dropout_prob,weight_decay,optimizer_name,num_hidden_layers,hidden_layer_width,Base Test Accuracy,Base Train Accuracy,Epochs Taken Base,Lost Patience,Overall Base Train Loss,Ran out of epochs,Reached Target Base,Complexity,Epochs Taken Dist,Generalization Gap,KL Loss on Train Data (kl mean),max_sigma,noisy_error,noise_trials,pac_bound_inverse_kl,pac_bound_pinsker
8d3okvgy,opadam_hw2048_nl2_lr0.003_bs128_dp0.2_wd1e-05,0.003,128.0,0.2,1e-05,adam,2.0,2048.0,0.7080000042915344,0.9994999766349792,48.0,False,0.0061970087699592,False,True,64.0,424092.0,0.2914999723434448,0.0126246092841029,0.0607757568359375,0.1026799976825714,"[{""sigma"": 0.5, ""noisy_error"": 0.8972600102424622}, {""sigma"": 0.25, ""noisy_error"": 0.877560019493103}, {""sigma"": 0.125, ""noisy_error"": 0.6781600117683411}, {""sigma"": 0.0625, ""noisy_error"": 0.11291000247001648}, {""sigma"": 0.03125, ""noisy_error"": 0.007519999984651804}, {""sigma"": 0.046875, ""noisy_error"": 0.03448000177741051}, {""sigma"": 0.0546875, ""noisy_error"": 0.06578999757766724}, {""sigma"": 0.05859375, ""noisy_error"": 0.087459996342659}, {""sigma"": 0.060546875, ""noisy_error"": 0.09905999898910522}, {""sigma"": 0.0615234375, ""noisy_error"": 0.10636000335216522}, {""sigma"": 0.06103515625, ""noisy_error"": 0.10299000144004822}, {""sigma"": 0.060791015625, ""noisy_error"": 0.10087999701499939}, {""sigma"": 0.0606689453125, ""noisy_error"": 0.09985999763011932}, {""sigma"": 0.06072998046875, ""noisy_error"": 0.10001000016927719}, {""sigma"": 0.060760498046875, ""noisy_error"": 0.10040000081062317}, {""sigma"": 0.0607757568359375, ""noisy_error"": 0.10267999768257141}]",1.0,tensor(13.1528)
bkomjhh9,opadam_hw2048_nl4_lr0.0003_bs128_dp0.1_wd0.0001,0.0003,128.0,0.1,0.0001,adam,4.0,2048.0,0.7210000157356262,0.9982500076293944,29.0,False,0.0095969531685113,False,True,70.0,425013.0,0.2772499918937683,0.0115430736914277,0.0254669189453125,0.1033599972724914,"[{""sigma"": 0.5, ""noisy_error"": 0.8992400169372559}, {""sigma"": 0.25, ""noisy_error"": 0.8982999920845032}, {""sigma"": 0.125, ""noisy_error"": 0.8939300179481506}, {""sigma"": 0.0625, ""noisy_error"": 0.7863600254058838}, {""sigma"": 0.03125, ""noisy_error"": 0.22735999524593353}, {""sigma"": 0.015625, ""noisy_error"": 0.014120000414550304}, {""sigma"": 0.0234375, ""noisy_error"": 0.07249999791383743}, {""sigma"": 0.02734375, ""noisy_error"": 0.1366100013256073}, {""sigma"": 0.025390625, ""noisy_error"": 0.10048999637365341}, {""sigma"": 0.0263671875, ""noisy_error"": 0.11823000013828278}, {""sigma"": 0.02587890625, ""noisy_error"": 0.10982000082731247}, {""sigma"": 0.025634765625, ""noisy_error"": 0.10487999767065048}, {""sigma"": 0.0255126953125, ""noisy_error"": 0.10367000102996826}, {""sigma"": 0.02545166015625, ""noisy_error"": 0.09918999671936035}, {""sigma"": 0.025482177734375, ""noisy_error"": 0.1028899997472763}, {""sigma"": 0.0254669189453125, ""noisy_error"": 0.10335999727249146}]",1.0,tensor(12.1538)
urrp1mjt,opsgd_hw2048_nl2_lr0.003_bs128_dp0.1_wd0.0001,0.003,128.0,0.1,0.0001,sgd,2.0,2048.0,0.6620000004768372,1.0,3684.0,False,0.0099902525544166,False,True,92.0,424981.0,0.3349999785423279,0.0111317541450262,0.0233306884765625,0.1040100008249282,"[{""sigma"": 0.5, ""noisy_error"": 0.8990700244903564}, {""sigma"": 0.25, ""noisy_error"": 0.8955000042915344}, {""sigma"": 0.125, ""noisy_error"": 0.8612200021743774}, {""sigma"": 0.0625, ""noisy_error"": 0.7023900151252747}, {""sigma"": 0.03125, ""noisy_error"": 0.26201000809669495}, {""sigma"": 0.015625, ""noisy_error"": 0.011970000341534615}, {""sigma"": 0.0234375, ""noisy_error"": 0.10391999781131744}, {""sigma"": 0.01953125, ""noisy_error"": 0.045559998601675034}, {""sigma"": 0.021484375, ""noisy_error"": 0.07299000024795532}, {""sigma"": 0.0224609375, ""noisy_error"": 0.08804000169038773}, {""sigma"": 0.02294921875, ""noisy_error"": 0.09464000165462494}, {""sigma"": 0.023193359375, ""noisy_error"": 0.09728000313043594}, {""sigma"": 0.0233154296875, ""noisy_error"": 0.09912999719381332}, {""sigma"": 0.02337646484375, ""noisy_error"": 0.10481999814510345}, {""sigma"": 0.023345947265625, ""noisy_error"": 0.10214000195264816}, {""sigma"": 0.0233306884765625, ""noisy_error"": 0.10401000082492828}]",1.0,tensor(5.5933)
8xm1sy74,opadam_hw2048_nl4_lr0.001_bs128_dp0_wd1e-05,0.001,128.0,0.0,1e-05,adam,4.0,2048.0,0.7699999809265137,0.9977499842643738,47.0,False,0.0093805566430091,False,True,62.0,426265.0,0.2277500033378601,0.0144563047215342,0.0401153564453125,0.1036600023508071,"[{""sigma"": 0.5, ""noisy_error"": 0.8990300297737122}, {""sigma"": 0.25, ""noisy_error"": 0.8977800011634827}, {""sigma"": 0.125, ""noisy_error"": 0.888260006904602}, {""sigma"": 0.0625, ""noisy_error"": 0.5791000127792358}, {""sigma"": 0.03125, ""noisy_error"": 0.03418999910354614}, {""sigma"": 0.046875, ""noisy_error"": 0.2061000019311905}, {""sigma"": 0.0390625, ""noisy_error"": 0.08957000076770782}, {""sigma"": 0.04296875, ""noisy_error"": 0.1403300017118454}, {""sigma"": 0.041015625, ""noisy_error"": 0.11271999776363373}, {""sigma"": 0.0400390625, ""noisy_error"": 0.10175999999046326}, {""sigma"": 0.04052734375, ""noisy_error"": 0.10683999955654144}, {""sigma"": 0.040283203125, ""noisy_error"": 0.10392999649047852}, {""sigma"": 0.0401611328125, ""noisy_error"": 0.10470999777317047}, {""sigma"": 0.04010009765625, ""noisy_error"": 0.10162000358104706}, {""sigma"": 0.040130615234375, ""noisy_error"": 0.10275000333786011}, {""sigma"": 0.0401153564453125, ""noisy_error"": 0.10366000235080719}]",1.0,tensor(13.2541)
2hpixn18,opsgd_hw2048_nl3_lr0.001_bs64_dp0.2_wd0,0.001,64.0,0.2,0.0,sgd,3.0,2048.0,0.6919999718666077,1.0,2852.0,False,0.0099664442241191,False,True,86.0,420622.0,0.3080000281333923,0.0108586009591817,0.0170440673828125,0.0981099978089332,"[{""sigma"": 0.5, ""noisy_error"": 0.9013000130653381}, {""sigma"": 0.25, ""noisy_error"": 0.8993899822235107}, {""sigma"": 0.125, ""noisy_error"": 0.89410001039505}, {""sigma"": 0.0625, ""noisy_error"": 0.8433799743652344}, {""sigma"": 0.03125, ""noisy_error"": 0.5501400232315063}, {""sigma"": 0.015625, ""noisy_error"": 0.06440000236034393}, {""sigma"": 0.0234375, ""noisy_error"": 0.3114500045776367}, {""sigma"": 0.01953125, ""noisy_error"": 0.17362000048160553}, {""sigma"": 0.017578125, ""noisy_error"": 0.11454000324010849}, {""sigma"": 0.0166015625, ""noisy_error"": 0.08990000188350677}, {""sigma"": 0.01708984375, ""noisy_error"": 0.10136999934911728}, {""sigma"": 0.016845703125, ""noisy_error"": 0.09268999844789505}, {""sigma"": 0.0169677734375, ""noisy_error"": 0.09572000056505203}, {""sigma"": 0.01702880859375, ""noisy_error"": 0.09869000315666199}, {""sigma"": 0.017059326171875, ""noisy_error"": 0.10093999654054642}, {""sigma"": 0.0170440673828125, ""noisy_error"": 0.09810999780893326}]",1.0,tensor(6.0317)
ctm8lbtn,opsgd_hw2048_nl4_lr0.001_bs64_dp0.2_wd1e-05,0.001,64.0,0.2,1e-05,sgd,4.0,2048.0,0.6930000185966492,1.0,2289.0,False,0.0099594164639711,False,True,82.0,431969.0,0.3069999814033508,0.0108555946499109,0.0132904052734375,0.0991899967193603,"[{""sigma"": 0.5, ""noisy_error"": 0.8986999988555908}, {""sigma"": 0.25, ""noisy_error"": 0.8982899785041809}, {""sigma"": 0.125, ""noisy_error"": 0.9001100063323975}, {""sigma"": 0.0625, ""noisy_error"": 0.8799899816513062}, {""sigma"": 0.03125, ""noisy_error"": 0.7300000190734863}, {""sigma"": 0.015625, ""noisy_error"": 0.19694000482559204}, {""sigma"": 0.0078125, ""noisy_error"": 0.0023900000378489494}, {""sigma"": 0.01171875, ""noisy_error"": 0.05161000043153763}, {""sigma"": 0.013671875, ""noisy_error"": 0.11322999745607376}, {""sigma"": 0.0126953125, ""noisy_error"": 0.07720000296831131}, {""sigma"": 0.01318359375, ""noisy_error"": 0.09448999911546707}, {""sigma"": 0.013427734375, ""noisy_error"": 0.10420999675989151}, {""sigma"": 0.0133056640625, ""noisy_error"": 0.10086999833583832}, {""sigma"": 0.01324462890625, ""noisy_error"": 0.09570000320672989}, {""sigma"": 0.013275146484375, ""noisy_error"": 0.09954000264406204}, {""sigma"": 0.0132904052734375, ""noisy_error"": 0.09918999671936035}]",1.0,tensor(6.8480)
ay2oos90,opsgd_hw2048_nl3_lr0.001_bs64_dp0.2_wd0.0001,0.001,64.0,0.2,0.0001,sgd,3.0,2048.0,0.6959999799728394,1.0,2918.0,False,0.009983466938138,False,True,87.0,124908.0,0.3069999814033508,0.0099988998845219,0.0170440673828125,0.0984999984502792,"[{""sigma"": 0.5, ""noisy_error"": 0.9010900259017944}, {""sigma"": 0.25, ""noisy_error"": 0.8993499875068665}, {""sigma"": 0.125, ""noisy_error"": 0.8941900134086609}, {""sigma"": 0.0625, ""noisy_error"": 0.8436800241470337}, {""sigma"": 0.03125, ""noisy_error"": 0.5517200231552124}, {""sigma"": 0.015625, ""noisy_error"": 0.06487999856472015}, {""sigma"": 0.0234375, ""noisy_error"": 0.3115299940109253}, {""sigma"": 0.01953125, ""noisy_error"": 0.17423999309539795}, {""sigma"": 0.017578125, ""noisy_error"": 0.1147100031375885}, {""sigma"": 0.0166015625, ""noisy_error"": 0.09025999903678894}, {""sigma"": 0.01708984375, ""noisy_error"": 0.10163000226020813}, {""sigma"": 0.016845703125, ""noisy_error"": 0.09252999722957611}, {""sigma"": 0.0169677734375, ""noisy_error"": 0.09675999730825424}, {""sigma"": 0.01702880859375, ""noisy_error"": 0.09961000084877014}, {""sigma"": 0.017059326171875, ""noisy_error"": 0.10103999823331833}, {""sigma"": 0.0170440673828125, ""noisy_error"": 0.09849999845027924}]",1.0,tensor(6.0475)
0ngd8cwj,opsgd_hw512_nl3_lr0.0003_bs128_dp0_wd0.0001,0.0003,128.0,0.0,0.0001,sgd,3.0,512.0,0.6119999885559082,1.0,27292.0,False,0.0099991895258426,False,True,87.0,127035.0,0.3880000114440918,0.0099993543699383,0.0153350830078125,0.0982199981808662,"[{""sigma"": 0.5, ""noisy_error"": 0.8991400003433228}, {""sigma"": 0.25, ""noisy_error"": 0.8957399725914001}, {""sigma"": 0.125, ""noisy_error"": 0.8617900013923645}, {""sigma"": 0.0625, ""noisy_error"": 0.6906399726867676}, {""sigma"": 0.03125, ""noisy_error"": 0.3743399977684021}, {""sigma"": 0.015625, ""noisy_error"": 0.1048400029540062}, {""sigma"": 0.0078125, ""noisy_error"": 0.006169999949634075}, {""sigma"": 0.01171875, ""noisy_error"": 0.043699998408555984}, {""sigma"": 0.013671875, ""noisy_error"": 0.07399000227451324}, {""sigma"": 0.0146484375, ""noisy_error"": 0.08938000351190567}, {""sigma"": 0.01513671875, ""noisy_error"": 0.09808000177145004}, {""sigma"": 0.015380859375, ""noisy_error"": 0.10034000128507614}, {""sigma"": 0.0152587890625, ""noisy_error"": 0.09921000152826309}, {""sigma"": 0.01531982421875, ""noisy_error"": 0.09771999716758728}, {""sigma"": 0.015350341796875, ""noisy_error"": 0.10108000040054321}, {""sigma"": 0.0153350830078125, ""noisy_error"": 0.09821999818086624}]",1.0,tensor(7.3729)
f3ln8avf,oprmsprop_hw512_nl3_lr0.0003_bs128_dp0_wd0,0.0003,128.0,0.0,0.0,rmsprop,3.0,512.0,0.6930000185966492,1.0,66.0,False,0.0098150614649057,False,True,81.0,332688.0,0.3069999814033508,0.0099999736994504,0.0257720947265625,0.1005899980664253,"[{""sigma"": 0.5, ""noisy_error"": 0.8988199830055237}, {""sigma"": 0.25, ""noisy_error"": 0.8937199711799622}, {""sigma"": 0.125, ""noisy_error"": 0.8417900204658508}, {""sigma"": 0.0625, ""noisy_error"": 0.5893599987030029}, {""sigma"": 0.03125, ""noisy_error"": 0.17372000217437744}, {""sigma"": 0.015625, ""noisy_error"": 0.014779999852180481}, {""sigma"": 0.0234375, ""noisy_error"": 0.07470999658107758}, {""sigma"": 0.02734375, ""noisy_error"": 0.11781000345945358}, {""sigma"": 0.025390625, ""noisy_error"": 0.09478999674320221}, {""sigma"": 0.0263671875, ""noisy_error"": 0.10650999844074249}, {""sigma"": 0.02587890625, ""noisy_error"": 0.10120999813079834}, {""sigma"": 0.025634765625, ""noisy_error"": 0.09815999865531921}, {""sigma"": 0.0257568359375, ""noisy_error"": 0.09939999878406525}, {""sigma"": 0.02581787109375, ""noisy_error"": 0.10078000277280807}, {""sigma"": 0.025787353515625, ""noisy_error"": 0.1015700027346611}, {""sigma"": 0.0257720947265625, ""noisy_error"": 0.10058999806642532}]",1.0,tensor(7.3839)
uyehadth,opadam_hw512_nl2_lr0.001_bs128_dp0_wd1e-05,0.001,128.0,0.0,1e-05,adam,2.0,512.0,0.6620000004768372,1.0,47.0,False,0.0090703908354043,False,True,85.0,114945.0,0.3379999995231628,0.0099992211908102,0.0376739501953125,0.1003699973225593,"[{""sigma"": 0.5, ""noisy_error"": 0.8962799906730652}, {""sigma"": 0.25, ""noisy_error"": 0.8713799715042114}, {""sigma"": 0.125, ""noisy_error"": 0.7356100082397461}, {""sigma"": 0.0625, ""noisy_error"": 0.35012000799179077}, {""sigma"": 0.03125, ""noisy_error"": 0.050620000809431076}, {""sigma"": 0.046875, ""noisy_error"": 0.18982000648975372}, {""sigma"": 0.0390625, ""noisy_error"": 0.11296000331640244}, {""sigma"": 0.03515625, ""noisy_error"": 0.07965999841690063}, {""sigma"": 0.037109375, ""noisy_error"": 0.09600000083446503}, {""sigma"": 0.0380859375, ""noisy_error"": 0.10266000032424927}, {""sigma"": 0.03759765625, ""noisy_error"": 0.09907999634742737}, {""sigma"": 0.037841796875, ""noisy_error"": 0.10170000046491623}, {""sigma"": 0.0377197265625, ""noisy_error"": 0.10145000368356705}, {""sigma"": 0.03765869140625, ""noisy_error"": 0.0989999994635582}, {""sigma"": 0.037689208984375, ""noisy_error"": 0.10072000324726105}, {""sigma"": 0.0376739501953125, ""noisy_error"": 0.10036999732255936}]",1.0,tensor(6.3243)
