run_id,run_name,lr,batch_size,dropout_prob,weight_decay,optimizer_name,num_hidden_layers,hidden_layer_width,Complexity,Epoch,Generalization Gap,KL Loss on Train Data (kl mean)
57pqbauk,opadam_hw2048_nl2_lr0.003_bs128_dp0.2_wd1e-05,0.003,128,0.2,1e-05,adam,2,2048,64.0,424092.0,0.2914999723434448,0.012624609284102917
sas9nb7n,opadam_hw512_nl2_lr0.001_bs128_dp0_wd1e-05,0.001,128,0.0,1e-05,adam,2,512,85.0,114945.0,0.33799999952316284,0.009999221190810204
5mbiuooy,opsgd_hw2048_nl2_lr0.003_bs128_dp0.1_wd0.0001,0.003,128,0.1,0.0001,sgd,2,2048,92.0,424981.0,0.3349999785423279,0.011131754145026209
amf3xau2,oprmsprop_hw512_nl3_lr0.0003_bs128_dp0_wd0,0.0003,128,0.0,0.0,rmsprop,3,512,81.0,332688.0,0.30699998140335083,0.009999973699450493
6yfq0aaj,opadam_hw2048_nl4_lr0.0003_bs128_dp0.1_wd0.0001,0.0003,128,0.1,0.0001,adam,4,2048,70.0,425013.0,0.2772499918937683,0.011543073691427708
nmlklz4o,opadam_hw2048_nl4_lr0.001_bs128_dp0_wd1e-05,0.001,128,0.0,1e-05,adam,4,2048,62.0,426265.0,0.2277500033378601,0.014456304721534252
i8eaunje,opsgd_hw512_nl3_lr0.0003_bs128_dp0_wd0.0001,0.0003,128,0.0,0.0001,sgd,3,512,87.0,127035.0,0.3880000114440918,0.009999354369938374
hjgi2p0c,opsgd_hw2048_nl3_lr0.001_bs64_dp0.2_wd0.0001,0.001,64,0.2,0.0001,sgd,3,2048,87.0,124908.0,0.30699998140335083,0.00999889988452196
7xjtmo50,opsgd_hw2048_nl4_lr0.001_bs64_dp0.2_wd1e-05,0.001,64,0.2,1e-05,sgd,4,2048,82.0,431969.0,0.30699998140335083,0.010855594649910929
60w5me99,opsgd_hw2048_nl3_lr0.001_bs64_dp0.2_wd0,0.001,64,0.2,0.0,sgd,3,2048,86.0,420622.0,0.30800002813339233,0.010858600959181786
ksud1ane,opsgd_hw512_nl2_lr0.001_bs64_dp0.2_wd1e-05,0.001,64,0.2,1e-05,sgd,2,512,88.0,422632.0,0.29600000381469727,0.010621839202940464
apgcgiej,oprmsprop_hw1024_nl4_lr0.0003_bs64_dp0.2_wd0.0001,0.0003,64,0.2,0.0001,rmsprop,4,1024,67.0,123914.0,0.24800002574920657,0.009999705478549004
qcpdqgex,oprmsprop_hw2048_nl4_lr0.001_bs64_dp0.1_wd1e-05,0.001,64,0.1,1e-05,rmsprop,4,2048,69.0,334066.0,0.23849999904632568,0.009999683126807213
4dz8r7wj,oprmsprop_hw2048_nl2_lr0.001_bs64_dp0.1_wd1e-05,0.001,64,0.1,1e-05,rmsprop,2,2048,71.0,232585.0,0.2850000262260437,0.009998791851103306
8a2o4rij,oprmsprop_hw2048_nl2_lr0.001_bs64_dp0.1_wd0,0.001,64,0.1,0.0,rmsprop,2,2048,70.0,426940.0,0.30524998903274536,0.011754426173865795
gtqasa3j,oprmsprop_hw2048_nl4_lr0.003_bs32_dp0.2_wd0,0.003,32,0.2,0.0,rmsprop,4,2048,,,,
puize79q,opadam_hw2048_nl4_lr0.003_bs32_dp0.2_wd0,0.003,32,0.2,0.0,adam,4,2048,,,,
t1vrzgp2,oprmsprop_hw1024_nl4_lr0.001_bs64_dp0.1_wd1e-05,0.001,64,0.1,1e-05,rmsprop,4,1024,62.0,433966.0,0.2574999928474426,0.011878511868417265
wc73wk8p,opsgd_hw2048_nl3_lr0.003_bs64_dp0.1_wd0,0.003,64,0.1,0.0,sgd,3,2048,87.0,223170.0,0.3240000009536743,0.00999663770198822
hfs4kz6r,oprmsprop_hw2048_nl3_lr0.003_bs32_dp0.1_wd0,0.003,32,0.1,0.0,rmsprop,3,2048,,,,
