run_id,run_name,lr,input_dim,batch_size,output_dim,dropout_prob,weight_decay,optimizer_name,num_hidden_layers,hidden_layer_width,Batch Size,Complexity,Depth,Dist Train (kl mean),Dropout Probability,Epoch,Generalization Gap,KL Loss on Train Data (kl mean),Learning Rate,Optimizer,Weight Decay,Width,_runtime,_step,_timestamp,_wandb
57pqbauk,opadam_hw2048_nl2_lr0.003_bs128_dp0.2_wd1e-05,0.003,40,128,10,0.2,1e-05,adam,2,2048,128.0,64.0,2.0,0.012624609284102917,0.2,424092.0,0.2914999723434448,0.012624609284102917,0.003,adam,1e-05,2048.0,6617.0703983306885,2154012.0,1741350334.7379034,{'runtime': 6616}
sas9nb7n,opadam_hw512_nl2_lr0.001_bs128_dp0_wd1e-05,0.001,40,128,10,0.0,1e-05,adam,2,512,128.0,85.0,2.0,0.009999221190810204,0.0,114945.0,0.33799999952316284,0.009999221190810204,0.001,adam,1e-05,512.0,1783.7904410362244,989214.0,1741345501.4579651,{'runtime': 1783}
5mbiuooy,opsgd_hw2048_nl2_lr0.003_bs128_dp0.1_wd0.0001,0.003,40,128,10,0.1,0.0001,sgd,2,2048,128.0,92.0,2.0,0.011131754145026209,0.1,424981.0,0.3349999785423279,0.011131754145026209,0.003,sgd,0.0001,2048.0,2557.1487560272217,1263912.0,1741346278.061773,{'runtime': 2556}
amf3xau2,oprmsprop_hw512_nl3_lr0.0003_bs128_dp0_wd0,0.0003,40,128,10,0.0,0.0,rmsprop,3,512,128.0,81.0,3.0,0.009999973699450493,0.0,332688.0,0.30699998140335083,0.009999973699450493,0.0003,rmsprop,0.0,512.0,1757.2854340076449,893094.0,1741345478.204527,{'runtime': 1756}
6yfq0aaj,opadam_hw2048_nl4_lr0.0003_bs128_dp0.1_wd0.0001,0.0003,40,128,10,0.1,0.0001,adam,4,2048,128.0,70.0,4.0,0.011543073691427708,0.1,425013.0,0.2772499918937683,0.011543073691427708,0.0003,adam,0.0001,2048.0,2205.669650554657,1103798.0,1741345926.5826776,{'runtime': 2205}
nmlklz4o,opadam_hw2048_nl4_lr0.001_bs128_dp0_wd1e-05,0.001,40,128,10,0.0,1e-05,adam,4,2048,128.0,62.0,4.0,0.014456304721534252,0.0,426265.0,0.2277500033378601,0.014456304721534252,0.001,adam,1e-05,2048.0,3231.32777261734,1822020.0,1741346948.9953036,{'runtime': 3230}
i8eaunje,opsgd_hw512_nl3_lr0.0003_bs128_dp0_wd0.0001,0.0003,40,128,10,0.0,0.0001,sgd,3,512,128.0,87.0,3.0,0.009999354369938374,0.0,127035.0,0.3880000114440918,0.009999354369938374,0.0003,sgd,0.0001,512.0,2415.729701757431,1175470.0,1741346136.6396646,{'runtime': 2415}
hjgi2p0c,opsgd_hw2048_nl3_lr0.001_bs64_dp0.2_wd0.0001,0.001,40,64,10,0.2,0.0001,sgd,3,2048,64.0,87.0,3.0,0.00999889988452196,0.2,124908.0,0.30699998140335083,0.00999889988452196,0.001,sgd,0.0001,2048.0,2258.3331911563873,1103588.0,1741345944.842514,{'runtime': 2258}
7xjtmo50,opsgd_hw2048_nl4_lr0.001_bs64_dp0.2_wd1e-05,0.001,40,64,10,0.2,1e-05,sgd,4,2048,64.0,82.0,4.0,0.010855594649910929,0.2,431969.0,0.30699998140335083,0.010855594649910929,0.001,sgd,1e-05,2048.0,1688.037070274353,954446.0,1741345374.3420105,{'runtime': 1687}
60w5me99,opsgd_hw2048_nl3_lr0.001_bs64_dp0.2_wd0,0.001,40,64,10,0.2,0.0,sgd,3,2048,64.0,86.0,3.0,0.010858600959181786,0.2,420622.0,0.30800002813339233,0.010858600959181786,0.001,sgd,0.0,2048.0,2073.1602125167847,1193782.0,1741345759.4651544,{'runtime': 2072}
60w5me99,opsgd_hw2048_nl3_lr0.001_bs64_dp0.2_wd0,0.001,40,64,10,0.2,0.0,sgd,3,2048,64.0,86.0,3.0,0.010858600959181786,0.2,420622.0,0.30800002813339233,0.010858600959181786,0.001,sgd,0.0,2048.0,2073.1602125167847,1193782.0,1741345759.4651544,{'runtime': 2072}
ksud1ane,opsgd_hw512_nl2_lr0.001_bs64_dp0.2_wd1e-05,0.001,40,64,10,0.2,1e-05,sgd,2,512,64.0,88.0,2.0,0.010621839202940464,0.2,422632.0,0.29600000381469727,0.010621839202940464,0.001,sgd,1e-05,512.0,2356.4356739521027,1230630.0,1741346040.847718,{'runtime': 2356}
apgcgiej,oprmsprop_hw1024_nl4_lr0.0003_bs64_dp0.2_wd0.0001,0.0003,40,64,10,0.2,0.0001,rmsprop,4,1024,64.0,67.0,4.0,0.009999705478549004,0.2,123914.0,0.24800002574920657,0.009999705478549004,0.0003,rmsprop,0.0001,1024.0,1575.6506323814392,804474.0,1741345260.0626814,{'runtime': 1575}
qcpdqgex,oprmsprop_hw2048_nl4_lr0.001_bs64_dp0.1_wd1e-05,0.001,40,64,10,0.1,1e-05,rmsprop,4,2048,64.0,69.0,4.0,0.009999683126807213,0.1,334066.0,0.23849999904632568,0.009999683126807213,0.001,rmsprop,1e-05,2048.0,4353.514739513397,1058766.0,1741348037.9267914,{'runtime': 4353}
4dz8r7wj,oprmsprop_hw2048_nl2_lr0.001_bs64_dp0.1_wd1e-05,0.001,40,64,10,0.1,1e-05,rmsprop,2,2048,64.0,71.0,2.0,0.009998791851103306,0.1,232585.0,0.2850000262260437,0.009998791851103306,0.001,rmsprop,1e-05,2048.0,2406.6842584609985,1250824.0,1741346091.0962963,{'runtime': 2406}
